word,qid
2d,Q5651824
3d,Q108276326
3d model,Q3859833
3d scanning,Q94701573
4d,Q20685814
action,Q2634111
activity,Q1914636
algorithm,Q8366
alpha compositing,Q693457
analytic,Q65311416
anatomy,Q514
animation,Q11425
annotation,Q857525
application,Q166142
application programming interface,Q165194
array data structure ,Q186152
audio,Q3500685
audiovisual,Q758901
behavior,Q9332
binary,Q4913864
bioassay,Q864212
biochemical,Q124892534
biology,Q420
biomarker,Q864574
biometrics,Q177765
biosample,Q96797376
biosignal,Q644240
biosignal ,Q644240
blockchain,Q20514253
bounding volume,Q1434060
box,Q16860308
calibration,Q736777
camera,Q15328
camera matrix,Q5026015
camera resectioning,Q2933935
categorical variable,Q2285707
chemical structure,Q500256
chemistry,Q2329
code,Q37141227
common workflow language,Q56291707
configuration,Q1866689
container,Q1643805
control,Q338754
control flow,Q868299
coordinate system,Q11210
coordinate system ,Q11210
data,Q42848
data file,Q5227290
data stream,Q1172540
database,Q8513
demography,Q37732
depth,Q930412
depth map,Q2940499
document,Q49848
drive,Q125338722
dynamics,Q128030
edge detection,Q1513153
eeg,Q30643862
electrocardiography,Q79785
electroencephalography,Q179965
electroencephalography ,Q179965
electromyography,Q27710763
electrooculography,Q420647
embedding,Q980509
emotion,Q5373749
environment,Q2249676
environmental condition,Q110792565
epigenetics ,Q26939
evaluation measures,Q25211005
event,Q1656682
event stream,Q104622942
eye tracking,Q970687
feature,Q814254
feature vector,Q1921842
file,Q193142
flow network,Q1412924
fmri,Q18615495
fundamental interaction,Q104934
game,Q11410
gameplay,Q1331296
gaze,Q16870142
genetics,Q7162
genomics,Q222046
geographic information ,Q5915793
geography,Q1071
geolocation,Q123349905
geometry,Q8087
geospatial,Q122074678
gesture,Q371174
global navigation satellite system,Q179435
gps,Q368785
graph,Q98669280
ground truth,Q370766
grounding,Q14920473
haptic,Q119732988
identifier,Q853614
image,Q478798
image segmentation,Q56933
imu,Q26203674
index,Q873506
inertial navigation system,Q570607
interaction,Q4641997
interactive,Q1636759
interactive computing,Q956238
json,Q2063
key point,Q34961254
kinaesthetics,Q1742319
kinematic,Q25215452
knowledge base,Q593744
knowledge graph,Q33002955
label,Q722218
landmark,Q4895393
laser scanning,Q1361664
layout,Q671986
lidar,Q504027
link,Q63617815
list,Q1828075
location,Q115095765
location data,Q60474237
log,Q39304236
log file,Q949532
magnetoencephalography,Q384188
map,Q4006
mask,Q161524
matrix,Q44337
metadata,Q180160
meteorology,Q25261
metrics,Q12796440
midi,Q98777027
model,Q4610556
molecule,Q11369
motion,Q79782
motion capture,Q676252
movement data,Q124815680
multilingual,Q96716753
multimodal interaction,Q738567
multimodality,Q1952416
network,Q7000691
neural,Q57032909
neuroimaging,Q551875
neurophysiology,Q660910
nirs,Q131462388
normal,Q273176
notebook,Q43013
numeral,Q63116
numeric,Q3249849
odometry,Q2014717
optical flow,Q736111
other,Q86630688
parameter,Q1413083
parsing,Q194152
pcap,Q285459
personal data,Q3702971
physical tool ,Q39546
physics,Q413
physiology,Q521
point,Q44946
point cloud,Q1899648
polarisation,Q121463492
polygon mesh,Q1154597
pose,Q1671968
predictive modelling,Q7239673
procedural generation,Q655427
protein,Q8054
protein structure,Q735188
radar,Q47528
radio,Q37169573
radio frequency,Q3396184
raster,Q66043426
real world data,Q55631277
reconstruction,Q2478058
reference,Q121769
respiration,Q15753091
result,Q2995644
robot kinematics,Q16000312
robotics,Q170978
salience,Q1469792
scalar field,Q193460
script,Q3691017
segmentation,Q1423946
semantics ,Q39645
sensor,Q37453697
sequence,Q20937557
sign language,Q34228
signal,Q19718090
simulation,Q45045
skeletal animation,Q1813564
skeleton,Q7881
sketch,Q5078274
social,Q345367
social environment,Q1571836
social network,Q2715623
software,Q7397
spacetime,Q133327
spatial data,Q11692743
spatial relation,Q2178623
spectra,Q130556645
spiking neural network,Q9067355
state,Q599031
structure,Q6671777
structured data,Q26813700
structured text,Q1753738
symbol,Q80071
symbolic,Q919092
synthetic data,Q7662746
table,Q14748
tabular,Q13402984
tactile,Q28136816
temporal,Q98889848
text,Q234460
three-dimensional object,Q35459920
time,Q43297
time series,Q186588
time-varying network,Q25303718
timestamp,Q186885
touch,Q307221
traffic volume,Q2516350
trajectory,Q193139
url,Q42253
vector,Q107994
video,Q625525
virtual environment,Q55950686
virtual reality,Q170519
visual perception,Q162668
visualization,Q451553
web,Q37564491
webgraph,Q7978783
whole-genome sequence,Q104595271
wireless,Q8026812
