word,qid
2d,Q5651824
3d,Q108276326
3d model,Q3859833
4d,Q20685814
action,Q2634111
activity,Q1914636
algorithm,Q8366
analytic,Q65311416
animation,Q11425
annotation,Q857525
application,Q166142
audio,Q3500685
audiovisual,Q758901
binary,Q4913864
biochemical,Q124892534
biomarker,Q864574
biosample,Q96797376
biosignal,Q644240
blockchain,Q20514253
box,Q16860308
calibration,Q736777
camera,Q15328
chemical structure,Q500256
code,Q37141227
configuration,Q1866689
container,Q1643805
control,Q338754
data,Q42848
data file,Q5227290
data stream,Q1172540
database,Q8513
depth,Q930412
depth map,Q2940499
document,Q49848
drive,Q125338722
eeg,Q30643862
electromyography,Q27710763
embedding,Q980509
emotion,Q5373749
environment,Q2249676
environmental condition,Q110792565
event,Q1656682
event stream,Q104622942
eye tracking,Q970687
feature,Q814254
feature vector,Q1921842
file,Q193142
fmri,Q18615495
game,Q11410
gameplay,Q1331296
gaze,Q16870142
geolocation,Q123349905
geometry,Q8087
geospatial,Q122074678
gesture,Q371174
gps,Q368785
graph,Q98669280
ground truth,Q370766
grounding,Q14920473
haptic,Q119732988
identifier,Q853614
image,Q478798
imu,Q26203674
index,Q873506
interaction,Q4641997
interactive,Q1636759
json,Q2063
key point,Q34961254
kinematic,Q25215452
knowledge base,Q593744
knowledge graph,Q33002955
label,Q722218
lidar,Q504027
link,Q63617815
list,Q1828075
location,Q115095765
log,Q39304236
magnetoencephalography,Q384188
map,Q4006
mask,Q161524
matrix,Q44337
metadata,Q180160
metrics,Q12796440
midi,Q98777027
model,Q4610556
motion,Q452237
motion capture,Q676252
movement data,Q124815680
multilingual,Q96716753
network,Q7000691
neural,Q57032909
neuroimaging,Q551875
nirs,Q131462388
notebook,Q43013
numeric,Q3249849
odometry,Q2014717
optical flow,Q736111
other,Q86630688
parameter,Q1413083
physics,Q413
point cloud,Q1899648
polarisation,Q121463492
pose,Q30603704
protein,Q8054
protein structure,Q735188
radar,Q47528
radio,Q37169573
radio frequency,Q3396184
raster,Q66043426
real world data,Q55631277
reconstruction,Q2478058
reference,Q121769
respiration,Q15753091
result,Q2995644
robotics,Q170978
scalar field,Q193460
script,Q3691017
segmentation,Q1423946
sensor,Q37453697
sequence,Q20937557
sign language,Q34228
signal,Q19718090
simulation,Q45045
skeleton,Q186190
sketch,Q5078274
social,Q345367
social network,Q2715623
software,Q7397
spatial relation,Q2178623
spectra,Q130556645
structure,Q15709970
structured data,Q26813700
structured text,Q1753738
symbol,Q80071
symbolic,Q919092
synthetic data,Q7662746
table,Q14748
tabular,Q13402984
tactile,Q28136816
temporal,Q98889848
text,Q234460
time,Q43297
time series,Q186588
timestamp,Q186885
touch,Q307221
trajectory,Q193139
url,Q42253
vector,Q107994
video,Q625525
virtual environment,Q55950686
virtual reality,Q170519
visualization,Q451553
web,Q37564491
wireless,Q8026812
