datatype,wiki_word,qid
rgb image,Silicon Graphics Image,Q7514956
rgbd image,Silicon Graphics Image,Q7514956
srgb image,Silicon Graphics Image,Q7514956
rgb color image,Silicon Graphics Image,Q7514956
depth image,depth,Q930412
depth map image,depth,Q930412
raw depth image,depth,Q930412
thermal image,thermography,Q624587
infrared image,thermography,Q624587
thermal face image,thermography,Q624587
ir image,thermography,Q624587
stereo thermal image,thermography,Q624587
thermal infrared image,thermography,Q624587
thermal spectrum image,thermography,Q624587
infrared spectrum image,thermography,Q624587
short wave infrared image,thermography,Q624587
near infrared image,thermography,Q624587
thermal infrared face image,thermography,Q624587
near infrared face image,thermography,Q624587
short wave infrared face image,thermography,Q624587
near infrared (nir) image,thermography,Q624587
infrared host image,thermography,Q624587
vehicle image,vehicle,Q42889
car image,vehicle,Q42889
full car image,vehicle,Q42889
surveillance car image,vehicle,Q42889
vehicle camera image,vehicle,Q42889
overhead car image,vehicle,Q42889
vehicle model image,vehicle,Q42889
ni vehicle image,vehicle,Q42889
ti vehicle image,vehicle,Q42889
urban vehicle image,vehicle,Q42889
aerial image,aerial image,Q4688011
aerial view image,aerial image,Q4688011
aerial scene image,aerial image,Q4688011
real aerial image,aerial image,Q4688011
synthetic aerial image,aerial image,Q4688011
satellite image,satellite view,P11832
satellite view image,satellite view,P11832
animal image,animal,Q729
pet image,animal,Q729
wildlife image,animal,Q729
dog image,animal,Q729
animal pose image,animal,Q729
mammal image,animal,Q729
dog breed image,animal,Q729
dog face image,animal,Q729
abstract animal image,animal,Q729
domestic animal image,animal,Q729
animal face image,animal,Q729
chest xray image,X-ray,Q34777
xray image,X-ray,Q34777
xray angiography image,X-ray,Q34777
medical xray image,X-ray,Q34777
biological xray image,X-ray,Q34777
industrial xray image,X-ray,Q34777
product image,product,Q2424752
retail product image,product,Q2424752
retail item image,product,Q2424752
ecommerce product image,product,Q2424752
retail object image,product,Q2424752
stereo image,stereo image,Q123906126
stereo camera image,stereo image,Q123906126
stereo pair image,stereo image,Q123906126
object category,object genre,Q111360549
object label,object genre,Q111360549
object category label,object genre,Q111360549
object class label,object genre,Q111360549
object detection label,object genre,Q111360549
object name,object genre,Q111360549
object classification label,object genre,Q111360549
annotated image,image annotation,Q105226562
attribute image,image annotation,Q105226562
annotated face image,image annotation,Q105226562
annotated bird image,image annotation,Q105226562
pose annotated image,image annotation,Q105226562
annotated vehicle image,image annotation,Q105226562
attribute annotated image,image annotation,Q105226562
annotated object image,image annotation,Q105226562
annotated people image,image annotation,Q105226562
annotated gun image,image annotation,Q105226562
pixel level annotated image,image annotation,Q105226562
synthetic image,synthetic media,Q96407327
synthetic environment image,synthetic media,Q96407327
synthetic scene image,synthetic media,Q96407327
synthetic color image,synthetic media,Q96407327
retinal image,Fundus camera,Q1144413
retinal fundus image,Fundus camera,Q1144413
retina image,Fundus camera,Q1144413
annotated retinal image,Fundus camera,Q1144413
digit image,Handwriting,Q2393642
handwritten digit image,Handwriting,Q2393642
stacked digit image,Handwriting,Q2393642
ambiguous digit image,Handwriting,Q2393642
3d object image,3D image,Q93700041
3d shape image,3D image,Q93700041
3d environment image,3D image,Q93700041
shape image,3D image,Q93700041
scene geometry image,3D image,Q93700041
3d geometry image,3D image,Q93700041
3d scene image,3D image,Q93700041
irregular shape image,3D image,Q93700041
3d image,3D image,Q93700041
hyperspectral image,Hyperspectral imaging,Q959005
hyperspectral radiance image,Hyperspectral imaging,Q959005
hyperspectral reflectance image,Hyperspectral imaging,Q959005
labeled hyperspectral image,Hyperspectral imaging,Q959005
ground truth image,ground truth,Q370766
ground truth depth image,ground truth,Q370766
ground image,ground truth,Q370766
ground camera image,ground truth,Q370766
groundtruth image,ground truth,Q370766
ground truth real image,ground truth,Q370766
medical image,medical imaging,Q931309
clinical image,medical imaging,Q931309
object detection image,pedestrian detection,Q2355550
pedestrian detection image,pedestrian detection,Q2355550
human detection image,pedestrian detection,Q2355550
ct image,CT scan,Q32566
ct scan image,CT scan,Q32566
computed tomography image,CT scan,Q32566
micro ct image,CT scan,Q32566
pet/ct image,CT scan,Q32566
segmented image,image segmentation,Q56933
segmentation image,image segmentation,Q56933
instance segmentation image,image segmentation,Q56933
polyp segmentation image,image segmentation,Q56933
class segmentation image,image segmentation,Q56933
grayscale segmentation image,image segmentation,Q56933
histopathology image,histopathology,Q1070952
histology image,histopathology,Q1070952
histopathological image,histopathology,Q1070952
histological image,histopathology,Q1070952
histopathologic image,histopathology,Q1070952
background image,Foreground detection,Q3813641
foreground image,Foreground detection,Q3813641
foreground and background image,Foreground detection,Q3813641
foreground object image,Foreground detection,Q3813641
environment image,environmental data,Q5381206
environmental image,environmental data,Q5381206
control environment image,environmental data,Q5381206
cell image,live cell imaging,Q6657126
segmented cell image,live cell imaging,Q6657126
synthetic cell image,live cell imaging,Q6657126
cellular image,live cell imaging,Q6657126
underwater image,seabed imagery ,Q57084789
fish image,seabed imagery ,Q57084789
underwater fish image,seabed imagery ,Q57084789
fish species image,seabed imagery ,Q57084789
underwater concepts image,seabed imagery ,Q57084789
underwater seabed image,seabed imagery ,Q57084789
handwritten text image,Handwriting,Q2393642
handwritten document image,Handwriting,Q2393642
handwritten character image,Handwriting,Q2393642
handwritten image,Handwriting,Q2393642
hand drawn image,Handwriting,Q2393642
fundus image,Fundus camera,Q1144413
2d fundus image,Fundus camera,Q1144413
color fundus image,Fundus camera,Q1144413
generated image,computer-generated imagery,Q6002306
random image,computer-generated imagery,Q6002306
randomly generated image,computer-generated imagery,Q6002306
synthesized object image,computer-generated imagery,Q6002306
urban environment image,cityscape,Q42304051
urban landscape image,cityscape,Q42304051
urban scene image,cityscape,Q42304051
full urban image,cityscape,Q42304051
urban area image,cityscape,Q42304051
urban and rural landscape image,cityscape,Q42304051
urban image,cityscape,Q42304051
texture image,Image texture,Q17147001
textured surface image,Image texture,Q17147001
traffic sign image,traffic sign,Q170285
german traffic signs image,traffic sign,Q170285
augmented traffic sign image,traffic sign,Q170285
clean traffic sign image,traffic sign,Q170285
indoor scene image,interior view,Q18811686
indoor environment image,interior view,Q18811686
indoor rgb image,interior view,Q18811686
indoor object image,interior view,Q18811686
interior scene image,interior view,Q18811686
interior design image,interior view,Q18811686
indoor image,interior view,Q18811686
ultrasound image,ultrasound,Q162564
micro ultrasound image,ultrasound,Q162564
web image,web page,Q36774
web page image,web page,Q36774
license plate image,vehicle registration plate,Q22706
house number plate image,vehicle registration plate,Q22706
car license image,vehicle registration plate,Q22706
number plate image,vehicle registration plate,Q22706
landmark image,architectural landmark,Q2319498
landmark building image,architectural landmark,Q2319498
city building image,architectural landmark,Q2319498
church building image,architectural landmark,Q2319498
table image,table,Q496946
table structure image,table,Q496946
rotated table image,table,Q496946
nutrition table image,table,Q496946
object detection,object recognition,Q1971661
object recognition,object recognition,Q1971661
object classification,object recognition,Q1971661
object mask,mask,Q591605
object segmentation mask,mask,Q591605
mask image,mask,Q591605
object centric mask,mask,Q591605
object level mask,mask,Q591605
adverse weather image,adverse weather events,Q113093943
weather condition image,adverse weather events,Q113093943
weather and seasonal variation image,adverse weather events,Q113093943
weather phenomena image,adverse weather events,Q113093943
weather image,adverse weather events,Q113093943
multi spectral image,Spectral imaging,Q7575196
spectral image,Spectral imaging,Q7575196
multi spectral satellite image,Spectral imaging,Q7575196
multi spectral vegetation image,Spectral imaging,Q7575196
spectral band image,Spectral imaging,Q7575196
hyper spectral image,Spectral imaging,Q7575196
panoramic image,spherical panorama,Q658252
360° image,spherical panorama,Q658252
spherical image,spherical panorama,Q658252
panorama image,spherical panorama,Q658252
360° spherical image,spherical panorama,Q658252
spherical panoramic image,spherical panorama,Q658252
360° rgb image,spherical panorama,Q658252
fluorescence microscopy image,Fluorescence microscope,Q840211
synthetic fluorescence microscopy image,Fluorescence microscope,Q840211
fluorescent microscopy image,Fluorescence microscope,Q840211
fluorescent image,Fluorescence microscope,Q840211
aircraft image,aircraft,Q11436
airplane image,aircraft,Q11436
manned aircraft image,aircraft,Q11436
aerial vehicle image,aircraft,Q11436
portrait image,portrait,Q134307
landscape image,portrait,Q134307
real portrait image,portrait,Q134307
flower image,flower,Q506
vgg flowers image,flower,Q506
overhead flower image,flower,Q506
real flower image,flower,Q506
artificial flower image,flower,Q506
augmented flower image,flower,Q506
orchid image,flower,Q506
labeled image,labeled data,Q30673951
label image,labeled data,Q30673951
labelled object image,labeled data,Q30673951
multi label image,labeled data,Q30673951
double labelled image,labeled data,Q30673951
labeled camera image,labeled data,Q30673951
change labeled image,labeled data,Q30673951
mri image,magnetic resonance imaging of the brain,Q13400786
brain image,magnetic resonance imaging of the brain,Q13400786
mri flair image,magnetic resonance imaging of the brain,Q13400786
knee mri image,magnetic resonance imaging of the brain,Q13400786
mri brain image,magnetic resonance imaging of the brain,Q13400786
cine mri image,magnetic resonance imaging of the brain,Q13400786
brain mr image,magnetic resonance imaging of the brain,Q13400786
brain ct image,magnetic resonance imaging of the brain,Q13400786
human pose image,pose,Q1671968
3d human body pose image,pose,Q1671968
3d body pose image,pose,Q1671968
3d human motion image,pose,Q1671968
dermoscopy image,dermatoscopy,Q902923
dermoscopic image,dermatoscopy,Q902923
dermatoscopic image,dermatoscopy,Q902923
egocentric image,Egocentric vision,Q48813876
ego centric view image,Egocentric vision,Q48813876
egocentric camera image,Egocentric vision,Q48813876
ego perspective image,Egocentric vision,Q48813876
drone image,unmanned aerial vehicle,Q484000
drone simulation image,unmanned aerial vehicle,Q484000
drone static image,unmanned aerial vehicle,Q484000
processed drone image,unmanned aerial vehicle,Q484000
simulated drone view image,unmanned aerial vehicle,Q484000
visible spectrum image,visible spectrum,Q76299
visible light image,visible spectrum,Q76299
beyond visible spectrum image,visible spectrum,Q76299
galaxy image,Astrophotography,Q280855
astronomical image,Astrophotography,Q280855
milky way image,Astrophotography,Q280855
radio image,Astrophotography,Q280855
radio galaxy image,Astrophotography,Q280855
rendered image,rendering,Q176953
rendered scene image,rendering,Q176953
rendered colour image,rendering,Q176953
rendering image,rendering,Q176953
rendered 3d model image,rendering,Q176953
multispectral image,multispectral image,Q1761440
multispectral satellite image,multispectral image,Q1761440
skin lesion image,skin lesion,Q102187434
skin disease image,skin lesion,Q102187434
traffic scene image,traffic,Q4323994
traffic image,traffic,Q4323994
traffic environment image,traffic,Q4323994
traffic camera image,traffic,Q4323994
sky image,satellite imagery,Q725252
sky/cloud image,satellite imagery,Q725252
cloud image,satellite imagery,Q725252
cloudless image,satellite imagery,Q725252
cloud mask image,satellite imagery,Q725252
cloud free satellite image,satellite imagery,Q725252
nighttime sky/cloud image,satellite imagery,Q725252
logo image,logo,Q1886349
brand logo image,logo,Q1886349
object model,object model,Q1116105
object 3d model,object model,Q1116105
object level 3d model,object model,Q1116105
microscopic image,microscopy,Q1074953
microscopic neuronal image,microscopy,Q1074953
cellular microscopic image,microscopy,Q1074953
sar image,SAR imagery,Q124445860
synthetic aperture radar (sar) image,SAR imagery,Q124445860
sar ship image,SAR imagery,Q124445860
fisheye image,fisheye lens,Q121567
fisheye face image,fisheye lens,Q121567
fisheye automotive image,fisheye lens,Q121567
fisheye camera image,fisheye lens,Q121567
advertisement image,advertisement,Q39911916
billboard image,advertisement,Q39911916
campaign image,advertisement,Q39911916
ad image,advertisement,Q39911916
contextual image,contextual image classification,Q5165192
contextual object image,contextual image classification,Q5165192
grayscale image,grayscale image,Q685727
grayscale mono image,grayscale image,Q685727
whole slide image,slide,Q3026325
slide image,slide,Q3026325
object class,instance,Q1664689
object instance,instance,Q1664689
historical document image,historical document,Q3771738
historic newspaper image,historical document,Q3771738
historical map image,historical document,Q3771738
archival image,historical document,Q3771738
synthetic face image,synthetic data,Q7662746
synthetic eye image,synthetic data,Q7662746
synthetic eye and face image,synthetic data,Q7662746
entire face synthesis image,synthetic data,Q7662746
object layout,layout,Q671986
object arrangement image,layout,Q671986
object level 3d scene layout,layout,Q671986
object bounding box,bounding volume,Q1434060
oriented bounding box image,bounding volume,Q1434060
animal bounding box image,bounding volume,Q1434060
object wise bounding box,bounding volume,Q1434060
radar image,radar image,Q99454767
light reflection image,radar image,Q99454767
radar rf image,radar image,Q99454767
reflectivity image,radar image,Q99454767
radar reflectivity image,radar image,Q99454767
raw image,raw image format,Q654383
raw format image,raw image format,Q654383
object tracking video,video tracking,Q1931635
single object tracking video,video tracking,Q1931635
multi object tracking video,video tracking,Q1931635
sketch image,sketch,Q5078274
object sketch,sketch,Q5078274
household object image,household goods,Q369594
household object scene,household goods,Q369594
household activity image,household goods,Q369594
household items image,household goods,Q369594
relationship image,social relation,Q853725
social interaction image,social relation,Q853725
social relationship image,social relation,Q853725
object relation image,social relation,Q853725
conceptual image,conceptual model,Q2623243
reasoning image,conceptual model,Q2623243
abstract reasoning image,conceptual model,Q2623243
abstract concept image,conceptual model,Q2623243
object motion,motion,Q7978
object movement,motion,Q7978
object trajectory,motion,Q7978
object motion sequence,motion,Q7978
object velocity,motion,Q7978
synthesized snowy image,snow,Q7561
snow free ground truth image,snow,Q7561
realistic snowy image,snow,Q7561
synthesized snow image,snow,Q7561
real scenario snow image,snow,Q7561
winter scenario image,snow,Q7561
metal waste image,plastic waste,Q21583226
glass waste image,plastic waste,Q21583226
biological waste image,plastic waste,Q21583226
paper waste image,plastic waste,Q21583226
cardboard waste image,plastic waste,Q21583226
plastic waste image,plastic waste,Q21583226
camouflaged object image,camouflage,Q196113
non camouflaged object image,camouflage,Q196113
horse image,horse,Q726
non horse image,horse,Q726
event image,event,Q1656682
event related image,event,Q1656682
surgical instrument image,surgery,Q40821
surgical scene image,surgery,Q40821
surgical image,surgery,Q40821
blood cell image,cell,Q7868
immune cell image,cell,Q7868
white blood cell image,cell,Q7868
mammography image,mammography,Q324634
breast screening image,mammography,Q324634
2d mammographic image,mammography,Q324634
floor plan image,floor plan,Q18965
floorplan image,floor plan,Q18965
object position,coordinate,Q3250736
object position query,coordinate,Q3250736
object coordinate,coordinate,Q3250736
object position data,coordinate,Q3250736
synthesized composite image,compositing,Q1121886
composite image,compositing,Q1121886
synthetic composite image,compositing,Q1121886
object manipulation image,object manipulation,Q7075058
object manipulation,object manipulation,Q7075058
object manipulation action,object manipulation,Q7075058
manipulation task image,object manipulation,Q7075058
raindrop image,raindrop,Q131199014
waterdrop image,raindrop,Q131199014
daytime raindrop image,raindrop,Q131199014
nighttime raindrop image,raindrop,Q131199014
colonoscopy image,virtual colonoscopy,Q302481
colon adenocarcinomas image,virtual colonoscopy,Q302481
benign colonic tissues image,virtual colonoscopy,Q302481
ct colonography image,virtual colonoscopy,Q302481
illumination change image,illumination,Q210064
illumination estimation image,illumination,Q210064
ambient illumination image,illumination,Q210064
luminance condition image,illumination,Q210064
illumination condition image,illumination,Q210064
cell phone image,smartphone,Q22645
device captured image,smartphone,Q22645
smartphone image,smartphone,Q22645
mobile phone image,smartphone,Q22645
device screen image,smartphone,Q22645
novelty image,anomaly,Q567555
logical anomaly image,anomaly,Q567555
anomalous image,anomaly,Q567555
anomaly detection image,anomaly,Q567555
anomaly image,anomaly,Q567555
marine environment image,marine life ,Q1230015
marine species image,marine life ,Q1230015
marine animal image,marine life ,Q1230015
camouflaged marine animal image,marine life ,Q1230015
common marine animal image,marine life ,Q1230015
baggage image,luggage,Q865054
suitcase/luggage image,luggage,Q865054
parcel image,luggage,Q865054
cuboid shaped parcel image,luggage,Q865054
luggage image,luggage,Q865054
high dynamic range image,dynamic range,Q1161699
low dynamic range image,dynamic range,Q1161699
photographic image,photograph,Q125191
non photographic image,photograph,Q125191
signature image,signboard,Q1211272
signboard image,signboard,Q1211272
entity image,entity,Q35120
entity rich image,entity,Q35120
object attribute,attribute,Q937228
object property,attribute,Q937228
formula image,formula,Q976981
mathematical expression image,formula,Q976981
motion blur image,motion blur,Q2519251
camera motion blur image,motion blur,Q2519251
recipe image,cooking,Q38695
cooking activity image,cooking,Q38695
kitchen interaction image,cooking,Q38695
traffic lane image,lane,Q3222002
lane boundary image,lane,Q3222002
lane detection image,lane,Q3222002
hand posture image,posture,Q8514257
hand gesture image,posture,Q8514257
human gesture image,posture,Q8514257
manipulated image,photograph manipulation,Q141130
digitally manipulated image,photograph manipulation,Q141130
altered image,photograph manipulation,Q141130
cover image,book cover,Q1125338
book cover image,book cover,Q1125338
title image,book cover,Q1125338
instagram image,instagram,Q209330
public instagram image,instagram,Q209330
public image,instagram,Q209330
species image,organism,Q7239
organism image,organism,Q7239
biological image,organism,Q7239
industrial product image,industrial product,Q1836700
industrial inspection image,industrial product,Q1836700
industrial object image,industrial product,Q1836700
bank check image,banknote,Q4743
currency image,banknote,Q4743
banknote image,banknote,Q4743
daytime image,daytime,Q52643
daytime outdoor image,daytime,Q52643
outdoor day image,daytime,Q52643
parking space image,parking space,Q1433633
parking lot image,parking space,Q1433633
cyclist image,cyclist,Q2125610
tricyclist image,cyclist,Q2125610
bicycle image,cyclist,Q2125610
compressed image,Compressed image format,Q2347127
jpeg format image,Compressed image format,Q2347127
jpeg compressed image,Compressed image format,Q2347127
heart image,cardiac imaging,Q5038319
heart segmentation image,cardiac imaging,Q5038319
heart region image,cardiac imaging,Q5038319
volumetric cardiac image,cardiac imaging,Q5038319
multi temporal satellite image,satellite imagery,Q725252
bi temporal high resolution image,satellite imagery,Q725252
bi temporal remote sensing image,satellite imagery,Q725252
bi temporal high resolution satellite rgb image,satellite imagery,Q725252
cifar10 image,CIFAR-100,Q45038012
cifar100 image,CIFAR-100,Q45038012
cifar10/100 image,CIFAR-100,Q45038012
radiology image,radiology,Q77604
radiological image,radiology,Q77604
birds eye view image,bird's-eye view,Q1153655
bird eye view image,bird's-eye view,Q1153655
endoscopic image,endoscopy,Q212809
laryngeal endoscopic image,endoscopy,Q212809
terrain image,terrain,Q186131
elevation image,terrain,Q186131
traffic light image,traffic light,Q8004
railway traffic light image,traffic light,Q8004
house image,apartment,Q188507
apartment image,apartment,Q188507
icon image,symbol,Q80071
symbol image,symbol,Q80071
spatial relation image,spatial relation,Q2178623
spatial relationship image,spatial relation,Q2178623
surface normal image,surface normal,Q273176
surface normal orientation image,surface normal,Q273176
object detection video,object detection,Q3045304
object recognition video,object detection,Q3045304
fungi image,fungi,Q764
mushroom image,fungi,Q764
makeup image,makeup,Q131207
non makeup image,makeup,Q131207
pathological image,pathology,Q7208
pathological h&e image,pathology,Q7208
photo tourism image,tourism,Q49389
tourist attraction image,tourism,Q49389
baby image,infant,Q998
real infant image,infant,Q998
mother image,infant,Q998
supermarket product image,grocery,Q951964
grocery and everyday product image,grocery,Q951964
supermarket goods image,grocery,Q951964
motion capture image,motion capture,Q676252
full body motion image,motion capture,Q676252
motion image,motion capture,Q676252
t1 mr image,magnetic resonance angiography,Q907325
t2 mr image,magnetic resonance angiography,Q907325
mra image,magnetic resonance angiography,Q907325
liver image,liver,Q9368
hepatic vessel image,liver,Q9368
liver ct image,liver,Q9368
colon image,colon,Q5982337
synthetic colon image,colon,Q5982337
realistic colon image,colon,Q5982337
geo tagged image,geotagged photograph,Q1368751
geolocated image,geotagged photograph,Q1368751
geo referenced image,geotagged photograph,Q1368751
immunofluorescence whole slide image,immunofluorescence microscopy,Q592324
immunofluorescence image,immunofluorescence microscopy,Q592324
immunohistochemistry image,immunofluorescence microscopy,Q592324
polarimetric sar image,Polarimetric SAR,Q132188108
polarimetric rgb image,Polarimetric SAR,Q132188108
polarimetric image,Polarimetric SAR,Q132188108
planetary surface image,planetary surface,Q7201252
mars surface image,planetary surface,Q7201252
synthetic mars image,planetary surface,Q7201252
synthesized text image,speech synthesis,Q16346
synthetic text image,speech synthesis,Q16346
synthetic word image,speech synthesis,Q16346
pattern image,pattern,Q2083958
printed pattern image,pattern,Q2083958
abstract pattern image,pattern,Q2083958
printed object image,printed object,Q1261026
printed text image,printed object,Q1261026
printed text line image,printed object,Q1261026
alphabet image,alphabet,Q9779
glyph image,alphabet,Q9779
letter image,alphabet,Q9779
cbct image,cone beam computed tomography,Q1224951
4d fbct image,cone beam computed tomography,Q1224951
4d cbct image,cone beam computed tomography,Q1224951
video frame image,video frame,Q5477883
frame image,video frame,Q5477883
optical flow image,optical flow,Q736111
scene flow image,optical flow,Q736111
gastrointestinal polyp image,gastrointestinal polyp,Q14299202
medical polyp image,gastrointestinal polyp,Q14299202
infographic image,infographic,Q845734
visualization and infographic image,infographic,Q845734
woman image,gender,Q48277
gender related image,gender,Q48277
all focus image,Multi-focus image fusion,Q55080206
multi focus image,Multi-focus image fusion,Q55080206
grocery image,grocery,Q951964
grocery item image,grocery,Q951964
synthetic brain tumor image,tumor,Q133212
real brain tumor image,tumor,Q133212
oct a image,optical coherence tomography,Q899552
oct image,optical coherence tomography,Q899552
optical coherence tomography image,optical coherence tomography,Q899552
3d optical coherence tomography (oct) image,optical coherence tomography,Q899552
thumbnail image,thumbnail,Q873806
object thumbnail,thumbnail,Q873806
pistachio image,pistachio,Q36071
pistachio species image,pistachio,Q36071
lung image,lung,Q7886
benign lung tissues image,lung,Q7886
object size,size,Q322481
object size comparison,size,Q322481
liquid container image,bottle,Q80228
medical bottle image,bottle,Q80228
anime image,anime,Q1107
anime/manga image,anime,Q1107
above water dolphin image,dolphin,Q7369
below water dolphin image,dolphin,Q7369
high speed camera image,high-speed camera,Q1621848
high frame rate image,high-speed camera,Q1621848
layout image,layout,Q671986
spatial layout image,layout,Q671986
tiny object image,miniature object,Q111907565
miniature object image,miniature object,Q111907565
catalog image,catalog,Q2352616
catalogue image,catalog,Q2352616
grape cluster image,vineyard,Q22715
vineyard image,vineyard,Q22715
microscopic marine plankton image,plankton,Q25367
plankton image,plankton,Q25367
dual fisheye image,fisheye lens,Q121567
stereo fisheye image,fisheye lens,Q121567
specular image,spectrogram,Q578970
spectrogram image,spectrogram,Q578970
hairstyle image,hairstyle,Q327496
hair image,hairstyle,Q327496
tissue image,tissue sample,Q30088094
tissue sample image,tissue sample,Q30088094
t1 weighted image,T2*-weighted imaging,Q56281360
t2 weighted image,T2*-weighted imaging,Q56281360
diabetic foot ulcer image,ulcer,Q6452285
oral ulcer image,ulcer,Q6452285
echocardiographic image,echocardiography,Q216933
echocardiogram image,echocardiography,Q216933
cardiac mri image,cardiac magnetic resonance imaging,Q5038325
cardiac magnetic resonance image,cardiac magnetic resonance imaging,Q5038325
material microstructure image,microstructure,Q1498213
microstructure image,microstructure,Q1498213
synthetic barcode image,QR code,Q12203
qr code image,QR code,Q12203
scanned receipt image,receipt,Q330190
receipt image,receipt,Q330190
cie xyz image,chronic intestinal pseudo-obstruction,Q56014002
cipo image,chronic intestinal pseudo-obstruction,Q56014002
ecommerce shop image,shop,Q213441
shop image,shop,Q213441
medical personal protective equipment image,safety equipment,Q3030569
safety equipment image,safety equipment,Q3030569
pcb image,printed circuit board,Q173350
printed circuit board image,printed circuit board,Q173350
ground truth fingerprint image,fingerprint,Q178022
real fingerprint image,fingerprint,Q178022
h&e stained histology image,histology,Q7168
h&e stained tissue image,histology,Q7168
2d particle image,particle,Q1621273
3d particle image,particle,Q1621273
indian food image,cuisine,Q1778821
central asian cuisine image,cuisine,Q1778821
wearable camera image,body-worn camera,Q17020273
wearable item image,body-worn camera,Q17020273
high resolution satellite image,satellite imagery,Q725252
low resolution satellite image,satellite imagery,Q725252
pavement image,pavement,Q177749
highway pavement image,pavement,Q177749
gastric cancer pathology image,gastric cancer,Q189588
sub sized gastric cancer pathology image,gastric cancer,Q189588
solar cell image,solar cell panel,Q217941
solar panel image,solar cell panel,Q217941
angle of linear polarization (aolp) image,linear polarization,Q6553479
degree of linear polarization (dolp) image,linear polarization,Q6553479
deep sky object image,deep-sky object,Q249389
deep sky image,deep-sky object,Q249389
contactless fingerprint image,Contactless fingerprinting,Q61750377
contact based fingerprint image,Contactless fingerprinting,Q61750377
vignetting image,vignetting,Q1136665
vignetting free image,vignetting,Q1136665
cervical cell image,blood smear,Q886475
blood smear image,blood smear,Q886475
spleen image,blood smear,Q886475
finger vein image,blood smear,Q886475
microtubule cell image,blood smear,Q886475
hematoxylin image,blood smear,Q886475
hemorrhage histological image,blood smear,Q886475
furniture image,furniture,Q14745
warehouse image,furniture,Q14745
shelf image,furniture,Q14745
camera image,webcam,Q29576
webcam image,webcam,Q29576
cityscape image,cityscape,Q42304051
streetscape image,cityscape,Q42304051
streetlight image,cityscape,Q42304051
manuscript image,manuscript,Q87167
full document image,manuscript,Q87167
designed document image,manuscript,Q87167
time lapse microscopy image,microscopy,Q1074953
microscopic field of view image,microscopy,Q1074953
pre processed microscopic image,microscopy,Q1074953
ambiguous image,ambiguous image,Q4741453
unknown object image,ambiguous image,Q4741453
unrelated image,ambiguous image,Q4741453
driving scene,driving,Q999646
road scene,driving,Q999646
road driving scene,driving,Q999646
urban scene,cityscape,Q42304051
city scene,cityscape,Q42304051
traffic scene,traffic,Q4323994
urban traffic scene,traffic,Q4323994
3d scene,3D,Q108276326
3d indoor scene,3D,Q108276326
3d action scene,3D,Q108276326
3d rendered scene,3D,Q108276326
urban street scene,cityscape,Q42304051
urban road scene,cityscape,Q42304051
urban driving scene,cityscape,Q42304051
urban outdoor scene,cityscape,Q42304051
crowd scene,crowd scene,Q85754678
crowded scene,crowd scene,Q85754678
3d crowd scene,crowd scene,Q85754678
synthetic scene,synthetic,Q14623823
artificial scene,synthetic,Q14623823
urban scene video,cityscape,Q42304051
street scene video,cityscape,Q42304051
urban street scene video,cityscape,Q42304051
real world scene,daily life,Q1129653
daily life scene,daily life,Q1129653
